movement_id,product_id,movement_type,quantity,movement_date
M000051,P066,IN,152,2026-02-14
M000052,P078,OUT,79,2025-04-01
M000053,P004,IN,178,2026-03-05
M000054,P021,OUT,6,2025-03-16
M000055,P002,IN,152,2025-08-21
M000056,P004,OUT,158,2025-04-13
M000057,P059,OUT,140,2025-11-26
M000058,P025,OUT,159,2026-01-27
M000059,P046,OUT,26,2025-06-23
M000060,P050,IN,119,2026-02-10
M000061,P085,IN,158,2025-04-28
M000062,P075,IN,13,2025-06-28
M000063,P087,IN,17,2025-05-08
M000064,P030,OUT,68,2025-09-01
M000065,P087,OUT,69,2025-12-04
M000066,P035,IN,161,2026-01-23
M000067,P027,OUT,37,2025-03-09
M000068,P056,IN,165,2025-05-23
M000069,P025,OUT,179,2025-05-21
M000070,P053,IN,181,2025-12-13
M000071,P051,OUT,44,2025-03-10
M000072,P017,OUT,46,2025-08-07
M000073,P090,OUT,85,2025-04-02
M000074,P053,OUT,92,2025-08-09
M000075,P005,IN,76,2025-05-13
M000076,P080,OUT,105,2025-03-16
M000077,P018,IN,44,2025-03-28
M000078,P084,OUT,188,2025-03-10
M000079,P037,OUT,59,2025-11-04
M000080,P092,IN,89,2025-03-24
M000081,P009,IN,7,2025-06-06
M000082,P022,IN,154,2025-11-06
M000083,P035,OUT,92,2025-12-23
M000084,P052,OUT,169,2025-09-14
M000085,P008,IN,13,2026-02-12
M000086,P071,OUT,148,2025-11-02
M000087,P099,OUT,72,2025-10-07
M000088,P089,OUT,106,2025-11-08
M000089,P002,OUT,22,2025-04-19
M000090,P087,OUT,123,2025-05-05
M000091,P052,IN,1,2025-07-31
M000092,P076,OUT,180,2025-05-14
M000093,P043,OUT,146,2026-02-19
M000094,P084,IN,169,2025-09-05
M000095,P048,OUT,166,2025-05-03
M000096,P076,IN,133,2025-03-26
M000097,P065,IN,89,2025-03-26
M000098,P016,IN,76,2025-10-03
M000099,P090,OUT,199,2025-08-21
M000100,P056,IN,176,2025-11-16
M000101,P093,OUT,192,2025-04-01
M000102,P036,IN,195,2026-01-25
M000103,P019,OUT,56,2026-01-17
M000104,P045,OUT,29,2025-10-18
M000105,P083,IN,24,2025-05-03
M000106,P045,OUT,83,2025-03-23
M000107,P017,OUT,200,2025-07-04
M000108,P038,IN,43,2025-11-30
M000109,P093,OUT,133,2025-08-04
M000110,P063,OUT,190,2025-12-19
M000111,P096,IN,156,2025-09-07
M000112,P057,IN,106,2025-06-25
M000113,P001,IN,196,2026-02-10
M000114,P070,OUT,70,2025-12-31
M000115,P049,OUT,114,2026-02-26
M000116,P049,OUT,57,2026-01-29
M000117,P002,IN,92,2025-08-01
M000118,P019,IN,165,2025-07-15
M000119,P030,IN,30,2025-06-15
M000120,P079,IN,188,2025-10-21
M000121,P038,OUT,16,2026-03-05
M000122,P063,OUT,44,2025-03-19
M000123,P037,IN,12,2025-03-24
M000124,P008,OUT,35,2026-01-24
M000125,P049,IN,182,2026-01-21
M000126,P014,IN,157,2025-05-24
M000127,P058,IN,165,2025-11-27
M000128,P086,IN,8,2025-04-18
M000129,P068,OUT,21,2025-05-27
M000130,P052,OUT,160,2025-12-05
M000131,P021,OUT,122,2025-07-07
M000132,P070,OUT,24,2025-12-27
M000133,P028,IN,55,2025-03-18
M000134,P039,IN,122,2025-06-02
M000135,P091,IN,156,2025-12-20
M000136,P079,IN,132,2025-06-23
M000137,P020,OUT,35,2025-11-12
M000138,P086,IN,131,2026-03-06
M000139,P048,IN,164,2026-01-12
M000140,P002,IN,82,2025-11-20
M000141,P084,OUT,176,2025-10-30
M000142,P013,OUT,50,2025-06-06
M000143,P069,IN,123,2025-07-11
M000144,P019,IN,119,2026-01-11
M000145,P037,IN,188,2025-04-23
M000146,P048,OUT,70,2025-08-01
M000147,P031,OUT,5,2025-06-11
M000148,P076,IN,140,2025-12-17
M000149,P005,OUT,187,2025-12-15
M000150,P021,IN,169,2025-05-19
M000151,P011,OUT,77,2025-12-18
M000152,P078,IN,107,2026-02-09
M000153,P045,IN,11,2025-05-07
M000154,P037,IN,17,2025-08-21
M000155,P036,OUT,28,2025-10-26
M000156,P045,OUT,25,2026-01-26
M000157,P084,OUT,129,2025-06-02
M000158,P090,OUT,182,2026-01-30
M000159,P083,IN,195,2025-03-24
M000160,P078,IN,170,2025-12-20
M000161,P031,IN,182,2025-12-20
M000162,P010,OUT,28,2025-11-08
M000163,P098,IN,76,2025-09-05
M000164,P071,OUT,152,2025-12-21
M000165,P018,IN,54,2026-03-03
M000166,P063,IN,167,2025-04-28
M000167,P059,OUT,160,2025-04-26
M000168,P013,OUT,64,2025-12-26
M000169,P065,OUT,123,2025-08-15
M000170,P044,OUT,80,2025-04-25
M000171,P038,OUT,151,2025-07-26
M000172,P048,IN,29,2025-07-02
M000173,P097,IN,102,2025-03-25
M000174,P020,OUT,5,2025-09-06
M000175,P097,IN,5,2025-08-30
M000176,P010,OUT,108,2025-04-23
M000177,P091,IN,87,2025-06-18
M000178,P082,OUT,184,2025-10-02
M000179,P026,OUT,55,2026-02-05
M000180,P071,OUT,42,2025-08-27
M000181,P048,OUT,17,2025-04-07
M000182,P055,IN,48,2025-10-31
M000183,P004,OUT,108,2025-05-30
M000184,P099,IN,194,2025-05-14
M000185,P013,OUT,11,2025-03-27
M000186,P027,IN,17,2025-05-01
M000187,P084,IN,187,2025-04-21
M000188,P094,IN,70,2026-03-03
M000189,P004,IN,34,2025-09-23
M000190,P084,OUT,3,2025-04-30
M000191,P023,OUT,157,2025-08-11
M000192,P053,IN,119,2025-08-25
M000193,P030,IN,37,2025-08-20
M000194,P036,IN,116,2025-09-29
M000195,P060,IN,4,2026-03-08
M000196,P024,IN,176,2025-07-04
M000197,P008,OUT,182,2026-02-21
M000198,P061,OUT,24,2025-04-05
M000199,P067,IN,15,2025-10-27
M000200,P038,OUT,77,2026-01-21
M000201,P067,OUT,128,2025-04-26
M000202,P080,IN,57,2025-11-25
M000203,P088,OUT,137,2025-08-15
M000204,P018,IN,106,2026-01-31
M000205,P048,OUT,2,2025-04-02
M000206,P045,OUT,52,2025-09-10
M000207,P058,OUT,62,2025-11-15
M000208,P025,OUT,114,2025-04-05
M000209,P033,IN,4,2025-07-16
M000210,P041,OUT,161,2025-07-10
M000211,P013,IN,183,2025-11-22
M000212,P064,IN,13,2026-02-05
M000213,P074,OUT,200,2025-11-13
M000214,P056,OUT,107,2026-01-23
M000215,P085,IN,57,2025-06-17
M000216,P072,OUT,52,2026-01-02
M000217,P055,IN,33,2025-06-22
M000218,P100,OUT,59,2025-03-18
M000219,P075,IN,115,2025-10-09
M000220,P086,IN,54,2025-08-19
M000221,P005,OUT,173,2026-03-04
M000222,P007,OUT,37,2026-01-03
M000223,P086,OUT,140,2025-09-14
M000224,P072,IN,151,2026-03-03
M000225,P010,OUT,164,2025-12-13
M000226,P012,IN,74,2025-07-09
M000227,P048,OUT,96,2026-01-11
M000228,P037,IN,116,2025-04-12
M000229,P057,OUT,200,2025-09-03
M000230,P027,IN,132,2025-11-30
M000231,P025,OUT,156,2025-06-29
M000232,P062,IN,167,2025-03-10
M000233,P020,IN,150,2025-10-04
M000234,P059,IN,133,2025-05-15
M000235,P035,IN,180,2025-06-07
M000236,P008,IN,53,2026-02-17
M000237,P070,OUT,111,2025-10-15
M000238,P024,IN,145,2025-06-13
M000239,P037,OUT,126,2025-10-03
M000240,P017,OUT,103,2025-07-03
M000241,P080,OUT,29,2025-11-03
M000242,P018,OUT,130,2025-07-30
M000243,P057,OUT,14,2025-03-24
M000244,P029,IN,178,2025-03-20
M000245,P084,OUT,96,2026-02-04
M000246,P069,IN,168,2025-03-27
M000247,P005,OUT,182,2025-10-03
M000248,P030,OUT,12,2025-05-26
M000249,P068,IN,41,2025-05-19
M000250,P050,OUT,24,2025-03-18
M000251,P011,IN,90,2025-10-09
M000252,P001,IN,5,2025-11-28
M000253,P039,OUT,92,2025-09-27
M000254,P013,IN,20,2026-02-27
M000255,P034,IN,24,2025-12-26
M000256,P058,OUT,82,2025-06-19
M000257,P046,OUT,60,2026-03-05
M000258,P062,IN,104,2025-09-12
M000259,P072,IN,189,2025-05-19
M000260,P086,OUT,93,2025-10-01
M000261,P064,IN,149,2025-07-15
M000262,P013,IN,155,2025-09-08
M000263,P069,IN,141,2025-04-11
M000264,P024,OUT,102,2025-05-05
M000265,P085,IN,163,2026-01-10
M000266,P021,IN,28,2026-02-13
M000267,P089,OUT,169,2025-10-16
M000268,P065,IN,89,2025-11-10
M000269,P087,OUT,122,2025-05-28
M000270,P088,IN,115,2025-04-07
M000271,P009,OUT,141,2026-03-02
M000272,P072,OUT,75,2026-01-29
M000273,P011,IN,184,2025-10-30
M000274,P007,IN,112,2025-10-16
M000275,P036,OUT,190,2025-07-29
M000276,P072,OUT,48,2026-01-07
M000277,P093,IN,11,2025-10-09
M000278,P094,IN,195,2026-02-13
M000279,P068,OUT,182,2026-01-12
M000280,P060,IN,24,2025-07-19
M000281,P038,OUT,120,2025-11-30
M000282,P024,IN,143,2025-05-09
M000283,P042,OUT,122,2025-12-31
M000284,P073,OUT,76,2025-05-24
M000285,P043,IN,134,2025-12-15
M000286,P078,IN,146,2026-02-08
M000287,P023,IN,95,2025-12-02
M000288,P061,IN,64,2026-02-08
M000289,P082,OUT,155,2026-02-12
M000290,P039,IN,35,2026-03-01
M000291,P016,OUT,47,2025-10-29
M000292,P060,OUT,165,2025-11-27
M000293,P077,OUT,176,2025-04-10
M000294,P070,IN,152,2025-08-07
M000295,P051,IN,185,2025-12-05
M000296,P060,IN,62,2025-07-05
M000297,P058,OUT,47,2025-10-24
M000298,P055,IN,165,2026-02-17
M000299,P061,OUT,46,2025-08-26
M000300,P079,IN,86,2026-03-05
M000301,P031,IN,155,2025-11-17
M000302,P043,OUT,188,2025-07-19
M000303,P010,IN,50,2026-03-07
M000304,P053,IN,166,2025-12-29
M000305,P023,OUT,24,2025-09-12
M000306,P038,IN,73,2025-04-29
M000307,P082,IN,70,2025-09-18
M000308,P066,OUT,39,2025-11-13
M000309,P003,IN,123,2025-10-15
M000310,P026,OUT,190,2025-05-05
M000311,P023,IN,32,2025-08-28
M000312,P081,OUT,31,2025-08-06
M000313,P033,OUT,43,2025-07-18
M000314,P049,OUT,51,2025-07-09
M000315,P086,IN,147,2026-01-15
M000316,P100,IN,24,2025-04-26
M000317,P036,OUT,28,2025-07-29
M000318,P074,IN,175,2025-06-20
M000319,P024,OUT,132,2025-09-06
M000320,P024,OUT,106,2026-01-07
M000321,P092,OUT,73,2025-12-01
M000322,P085,IN,17,2025-08-07
M000323,P099,IN,153,2026-01-25
M000324,P036,OUT,79,2026-01-01
M000325,P033,IN,3,2026-01-15
M000326,P093,OUT,48,2025-12-30
M000327,P044,IN,195,2025-11-28
M000328,P074,OUT,114,2025-11-30
M000329,P098,OUT,154,2025-05-27
M000330,P059,OUT,104,2025-08-06
M000331,P050,IN,118,2025-09-26
M000332,P014,IN,166,2025-06-03
M000333,P009,IN,141,2025-04-19
M000334,P092,IN,92,2025-10-28
M000335,P041,IN,103,2025-06-05
M000336,P098,IN,106,2025-10-06
M000337,P094,IN,125,2025-03-14
M000338,P052,OUT,79,2026-03-06
M000339,P011,OUT,81,2025-05-09
M000340,P071,OUT,190,2025-07-12
M000341,P006,IN,194,2025-04-14
M000342,P099,OUT,33,2025-04-04
M000343,P008,IN,99,2026-02-02
M000344,P005,IN,151,2025-05-10
M000345,P098,OUT,191,2025-09-22
M000346,P054,OUT,68,2025-12-01
M000347,P052,OUT,59,2025-09-15
M000348,P031,OUT,184,2025-06-19
M000349,P090,OUT,74,2025-05-16
M000350,P034,OUT,21,2025-07-14
M000351,P071,OUT,179,2026-01-08
M000352,P075,IN,150,2025-06-05
M000353,P033,OUT,31,2026-01-25
M000354,P080,IN,30,2025-11-29
M000355,P077,OUT,42,2025-11-17
M000356,P019,OUT,124,2025-12-24
M000357,P022,OUT,11,2025-09-13
M000358,P073,IN,120,2025-10-01
M000359,P076,OUT,165,2025-06-02
M000360,P006,OUT,155,2025-04-20
M000361,P082,OUT,143,2025-07-12
M000362,P018,IN,97,2025-06-01
M000363,P010,IN,103,2026-02-17
M000364,P039,OUT,186,2025-06-14
M000365,P068,IN,180,2026-01-01
M000366,P086,OUT,187,2025-09-11
M000367,P094,OUT,160,2025-09-02
M000368,P084,IN,158,2025-10-11
M000369,P016,IN,175,2025-12-18
M000370,P093,IN,45,2025-03-25
M000371,P027,IN,118,2025-12-01
M000372,P076,OUT,126,2026-02-09
M000373,P068,IN,120,2025-07-08
M000374,P090,OUT,148,2025-11-20
M000375,P024,IN,7,2025-11-23
M000376,P003,IN,48,2025-10-03
M000377,P010,IN,140,2026-02-02
M000378,P079,OUT,110,2025-03-17
M000379,P041,IN,76,2025-06-29
M000380,P015,OUT,150,2025-11-30
M000381,P038,IN,11,2025-10-01
M000382,P022,IN,136,2025-12-22
M000383,P038,OUT,68,2025-10-28
M000384,P054,IN,34,2026-03-08
M000385,P037,OUT,11,2025-11-06
M000386,P080,OUT,63,2025-12-29
M000387,P038,IN,64,2025-05-06
M000388,P037,OUT,97,2025-12-24
M000389,P044,OUT,140,2025-10-10
M000390,P068,OUT,6,2025-09-28
M000391,P081,OUT,119,2025-10-22
M000392,P039,OUT,181,2025-05-23
M000393,P082,IN,34,2025-11-10
M000394,P073,OUT,15,2025-06-19
M000395,P050,OUT,85,2025-12-17
M000396,P056,OUT,139,2026-01-11
M000397,P051,OUT,7,2025-11-28
M000398,P051,IN,180,2025-06-10
M000399,P044,IN,64,2025-03-22
M000400,P045,IN,91,2025-06-23
M000401,P091,IN,72,2026-03-05
M000402,P095,IN,49,2025-06-25
M000403,P058,IN,169,2025-12-09
M000404,P055,OUT,85,2026-01-20
M000405,P095,IN,54,2025-09-21
M000406,P065,OUT,157,2025-08-16
M000407,P072,IN,18,2025-05-06
M000408,P014,IN,37,2026-01-12
M000409,P002,IN,84,2025-04-08
M000410,P040,IN,15,2026-02-19
M000411,P060,OUT,8,2025-04-24
M000412,P047,IN,49,2025-08-07
M000413,P003,IN,38,2025-07-13
M000414,P003,IN,99,2025-07-25
M000415,P062,IN,192,2025-03-17
M000416,P069,OUT,90,2025-04-04
M000417,P087,IN,176,2026-03-02
M000418,P069,OUT,104,2025-07-06
M000419,P051,OUT,147,2025-03-13
M000420,P011,OUT,171,2025-11-24
M000421,P058,IN,170,2025-05-15
M000422,P082,OUT,97,2026-01-02
M000423,P018,IN,188,2025-03-10
M000424,P053,IN,9,2025-06-22
M000425,P059,OUT,32,2025-10-19
M000426,P057,IN,28,2026-02-19
M000427,P098,OUT,97,2025-10-12
M000428,P018,IN,195,2025-06-08
M000429,P079,OUT,171,2025-12-13
M000430,P072,IN,80,2025-09-04
M000431,P072,OUT,180,2025-12-14
M000432,P053,OUT,10,2025-09-18
M000433,P062,OUT,88,2025-04-08
M000434,P044,IN,141,2025-04-21
M000435,P063,OUT,112,2026-01-27
M000436,P084,IN,154,2025-05-17
M000437,P035,OUT,167,2025-05-12
M000438,P017,IN,41,2025-11-20
M000439,P024,IN,188,2025-03-24
M000440,P013,OUT,24,2025-11-21
M000441,P014,OUT,120,2025-08-09
M000442,P065,IN,185,2026-01-03
M000443,P066,IN,133,2026-02-09
M000444,P062,OUT,13,2025-07-17
M000445,P016,IN,36,2025-08-19
M000446,P015,OUT,66,2025-04-23
M000447,P093,OUT,70,2025-05-14
M000448,P031,IN,196,2025-10-30
M000449,P050,OUT,64,2025-05-15
M000450,P085,OUT,101,2025-11-20
M000451,P016,OUT,144,2026-01-24
M000452,P004,OUT,138,2025-11-10
M000453,P078,OUT,84,2025-05-23
M000454,P073,IN,102,2025-11-22
M000455,P017,IN,32,2026-02-17
M000456,P045,IN,162,2026-02-03
M000457,P100,IN,137,2025-07-25
M000458,P088,OUT,27,2025-06-08
M000459,P011,IN,20,2025-10-14
M000460,P075,IN,158,2025-07-05
M000461,P009,IN,117,2025-09-29
M000462,P054,OUT,96,2025-12-16
M000463,P096,OUT,103,2025-05-28
M000464,P075,IN,84,2025-10-16
M000465,P023,OUT,199,2025-12-03
M000466,P040,IN,84,2025-07-07
M000467,P084,IN,68,2025-04-29
M000468,P070,OUT,147,2026-01-02
M000469,P014,OUT,53,2025-12-16
M000470,P093,IN,156,2025-06-11
M000471,P055,IN,34,2026-01-06
M000472,P077,IN,63,2025-08-07
M000473,P053,OUT,87,2026-01-06
M000474,P008,OUT,185,2025-07-10
M000475,P068,IN,192,2025-03-11
M000476,P099,IN,16,2025-09-06
M000477,P060,OUT,167,2025-05-01
M000478,P014,IN,116,2025-09-22
M000479,P087,OUT,152,2025-11-12
M000480,P037,IN,159,2025-08-04
M000481,P044,IN,127,2025-08-27
M000482,P050,IN,170,2026-02-13
M000483,P031,OUT,127,2025-03-20
M000484,P045,OUT,125,2025-07-19
M000485,P082,OUT,191,2025-10-03
M000486,P089,IN,149,2026-01-13
M000487,P073,IN,176,2025-05-10
M000488,P087,OUT,151,2025-05-10
M000489,P043,IN,158,2025-03-18
M000490,P068,OUT,12,2025-09-04
M000491,P005,OUT,96,2026-01-27
M000492,P068,IN,136,2025-10-18
M000493,P027,IN,100,2025-08-09
M000494,P086,OUT,112,2025-08-03
M000495,P013,OUT,25,2026-01-03
M000496,P041,IN,37,2025-09-02
M000497,P019,IN,61,2025-07-30
M000498,P056,OUT,170,2026-02-21
M000499,P069,OUT,33,2025-08-13
M000500,P089,OUT,102,2025-12-28
M000501,P085,IN,89,2025-06-24
M000502,P028,OUT,63,2025-04-08
M000503,P078,OUT,46,2025-08-12
M000504,P099,IN,134,2025-04-05
M000505,P035,OUT,4,2025-11-29
M000506,P094,OUT,37,2026-03-09
M000507,P097,IN,142,2025-10-22
M000508,P092,OUT,104,2025-11-03
M000509,P012,IN,121,2025-08-03
M000510,P031,OUT,129,2025-12-24
M000511,P059,OUT,108,2025-06-06
M000512,P018,OUT,40,2026-02-15
M000513,P097,OUT,189,2025-11-23
M000514,P065,IN,103,2025-12-25
M000515,P002,IN,21,2025-06-03
M000516,P060,OUT,67,2025-04-04
M000517,P029,IN,116,2025-08-14
M000518,P052,OUT,165,2025-05-22
M000519,P046,OUT,175,2025-07-11
M000520,P085,OUT,27,2025-11-22
M000521,P022,OUT,86,2025-11-26
M000522,P001,IN,168,2025-08-20
M000523,P049,OUT,195,2025-06-04
M000524,P046,IN,100,2025-12-10
M000525,P060,OUT,141,2025-04-25
M000526,P015,IN,138,2025-10-26
M000527,P073,OUT,18,2025-03-11
M000528,P093,OUT,13,2025-06-01
M000529,P086,OUT,102,2025-07-02
M000530,P034,OUT,60,2025-03-30
M000531,P031,OUT,150,2025-08-18
M000532,P050,IN,149,2025-03-27
M000533,P040,IN,87,2025-12-16
M000534,P023,IN,59,2026-01-26
M000535,P081,IN,78,2025-06-01
M000536,P084,IN,54,2025-05-09
M000537,P047,IN,51,2025-03-09
M000538,P065,IN,22,2025-06-08
M000539,P036,OUT,61,2025-10-20
M000540,P039,OUT,65,2025-06-11
M000541,P050,IN,66,2025-05-03
M000542,P024,OUT,153,2025-04-21
M000543,P029,IN,62,2025-06-06
M000544,P027,OUT,63,2025-05-28
M000545,P072,IN,181,2025-11-06
M000546,P088,OUT,22,2025-07-22
M000547,P045,IN,138,2025-12-03
M000548,P032,OUT,78,2026-01-16
M000549,P091,IN,175,2026-02-04
M000550,P056,OUT,174,2025-08-06
M000551,P064,OUT,192,2026-03-02
M000552,P022,OUT,168,2025-03-26
M000553,P082,IN,46,2026-01-04
M000554,P011,IN,11,2025-09-19
M000555,P040,OUT,149,2026-01-15
M000556,P082,OUT,8,2025-04-30
M000557,P086,IN,49,2025-04-18
M000558,P036,IN,146,2025-12-04
M000559,P063,IN,200,2025-03-19
M000560,P082,IN,143,2026-01-11
M000561,P034,OUT,130,2025-08-05
M000562,P097,OUT,21,2025-11-29
M000563,P025,OUT,147,2026-02-26
M000564,P083,OUT,88,2026-01-29
M000565,P050,IN,125,2025-06-07
M000566,P010,IN,49,2025-05-31
M000567,P066,OUT,141,2025-06-02
M000568,P083,IN,36,2026-01-09
M000569,P069,IN,11,2025-11-15
M000570,P039,IN,85,2025-10-26
M000571,P054,OUT,189,2025-08-20
M000572,P066,OUT,91,2026-01-07
M000573,P012,IN,193,2025-08-15
M000574,P020,IN,100,2025-10-14
M000575,P098,OUT,4,2026-03-08
M000576,P042,OUT,102,2025-11-15
M000577,P096,OUT,129,2025-04-16
M000578,P087,OUT,91,2025-07-14
M000579,P089,OUT,115,2025-05-03
M000580,P058,OUT,176,2025-05-24
M000581,P097,OUT,185,2025-12-31
M000582,P080,OUT,142,2026-01-09
M000583,P093,OUT,126,2025-08-20
M000584,P044,OUT,42,2025-07-30
M000585,P064,IN,182,2025-11-12
M000586,P078,OUT,95,2025-04-12
M000587,P055,OUT,121,2025-08-04
M000588,P002,IN,83,2025-08-02
M000589,P065,IN,84,2025-07-14
M000590,P096,IN,30,2025-08-07
M000591,P015,OUT,81,2025-10-26
M000592,P037,OUT,176,2025-03-10
M000593,P075,IN,200,2025-06-27
M000594,P015,OUT,100,2025-04-30
M000595,P006,IN,62,2025-07-03
M000596,P044,OUT,108,2026-02-03
M000597,P096,OUT,159,2026-01-20
M000598,P002,IN,32,2025-05-27
M000599,P060,OUT,89,2025-07-21
M000600,P044,IN,119,2025-11-19
M000601,P044,OUT,62,2025-03-14
M000602,P009,IN,150,2025-03-14
M000603,P098,IN,123,2025-12-02
M000604,P052,OUT,116,2025-08-10
M000605,P065,IN,124,2026-03-06
M000606,P008,OUT,55,2025-10-03
M000607,P100,OUT,21,2025-03-28
M000608,P062,OUT,34,2025-04-28
M000609,P012,IN,180,2026-02-17
M000610,P029,OUT,87,2025-08-23
M000611,P022,IN,56,2026-02-04
M000612,P019,OUT,87,2025-03-20
M000613,P013,IN,164,2025-05-02
M000614,P042,OUT,80,2025-11-29
M000615,P068,IN,25,2025-06-29
M000616,P039,OUT,4,2025-03-27
M000617,P092,IN,187,2025-05-17
M000618,P027,OUT,133,2025-11-24
M000619,P003,OUT,79,2025-06-13
M000620,P066,IN,8,2025-10-16
M000621,P051,OUT,97,2026-01-18
M000622,P092,IN,16,2025-12-23
M000623,P088,OUT,150,2025-08-18
M000624,P003,OUT,137,2025-03-17
M000625,P052,OUT,172,2025-09-23
M000626,P047,IN,50,2025-04-09
M000627,P026,IN,9,2026-01-25
M000628,P054,OUT,180,2025-05-27
M000629,P028,OUT,13,2025-03-17
M000630,P039,IN,102,2025-12-30
M000631,P020,IN,50,2025-12-08
M000632,P084,OUT,67,2025-11-05
M000633,P054,IN,120,2025-05-24
M000634,P024,OUT,166,2025-05-31
M000635,P056,IN,22,2025-07-05
M000636,P001,IN,150,2025-06-23
M000637,P097,IN,137,2025-08-31
M000638,P008,OUT,85,2025-04-18
M000639,P024,IN,184,2025-09-18
M000640,P094,IN,131,2025-05-09
M000641,P082,IN,95,2025-09-11
M000642,P025,OUT,95,2025-12-16
M000643,P050,OUT,73,2025-06-25
M000644,P078,IN,185,2025-06-03
M000645,P014,OUT,21,2025-03-25
M000646,P016,IN,2,2025-09-01
M000647,P061,IN,71,2025-10-16
M000648,P046,IN,89,2026-02-04
M000649,P010,IN,185,2025-08-12
M000650,P076,IN,13,2025-09-06
M000651,P028,IN,147,2025-10-30
M000652,P064,IN,157,2025-05-27
M000653,P041,IN,149,2025-03-13
M000654,P035,OUT,92,2025-09-24
M000655,P080,IN,30,2025-10-26
M000656,P085,IN,25,2025-04-25
M000657,P029,IN,111,2026-03-09
M000658,P064,IN,92,2025-10-24
M000659,P098,IN,70,2026-02-15
M000660,P057,OUT,148,2025-06-28
M000661,P052,OUT,107,2025-03-18
M000662,P085,OUT,59,2026-03-06
M000663,P006,OUT,80,2025-11-19
M000664,P005,OUT,78,2025-08-26
M000665,P068,IN,167,2025-11-10
M000666,P092,IN,180,2026-02-13
M000667,P052,OUT,149,2025-10-08
M000668,P014,OUT,29,2025-03-23
M000669,P059,OUT,167,2026-02-18
M000670,P003,OUT,154,2026-02-15
M000671,P010,OUT,62,2025-05-10
M000672,P005,OUT,124,2026-01-01
M000673,P085,IN,53,2025-10-09
M000674,P052,IN,114,2025-06-05
M000675,P051,OUT,100,2025-09-22
M000676,P092,OUT,96,2025-08-02
M000677,P020,IN,98,2025-03-30
M000678,P066,IN,195,2025-11-08
M000679,P062,IN,130,2025-04-01
M000680,P066,OUT,92,2025-03-10
M000681,P030,OUT,152,2025-11-22
M000682,P059,OUT,123,2025-12-04
M000683,P069,OUT,105,2025-09-05
M000684,P064,OUT,12,2025-08-28
M000685,P010,IN,2,2025-04-06
M000686,P090,IN,189,2025-11-12
M000687,P095,OUT,156,2025-11-12
M000688,P059,OUT,51,2026-02-24
M000689,P002,IN,137,2025-05-14
M000690,P035,IN,2,2025-07-01
M000691,P025,OUT,26,2025-06-02
M000692,P082,IN,129,2025-05-04
M000693,P015,OUT,75,2025-12-24
M000694,P069,OUT,200,2025-04-19
M000695,P008,IN,197,2026-01-14
M000696,P023,IN,52,2025-06-15
M000697,P024,IN,128,2025-11-28
M000698,P035,OUT,96,2025-04-16
M000699,P056,OUT,88,2025-12-23
M000700,P001,OUT,102,2025-03-28
M000701,P023,IN,87,2025-11-13
M000702,P053,IN,75,2025-10-28
M000703,P073,IN,97,2025-09-04
M000704,P004,OUT,33,2025-06-03
M000705,P052,IN,102,2025-06-05
M000706,P080,IN,98,2025-04-18
M000707,P031,IN,106,2025-05-12
M000708,P093,OUT,182,2026-01-07
M000709,P056,OUT,144,2026-03-02
M000710,P079,OUT,191,2025-12-23
M000711,P081,IN,110,2026-01-22
M000712,P003,IN,82,2025-04-12
M000713,P060,IN,21,2026-01-12
M000714,P007,IN,193,2025-06-28
M000715,P003,OUT,82,2025-10-25
