return_id,order_id,product_id,return_date,reason
R00089,O07957,P040,2025-10-03,Damaged
R00090,O08067,P079,2026-01-31,Damaged
R00091,O05924,P003,2026-01-20,Wrong Item
R00092,O09408,P006,2026-01-03,Wrong Item
R00093,O06448,P058,2025-05-20,Wrong Item
R00094,O05442,P034,2026-02-06,Wrong Item
R00095,O09319,P089,2026-03-02,Wrong Item
R00096,O03494,P074,2026-01-03,Defective
R00097,O06093,P069,2025-12-23,Customer Changed Mind
R00098,O00901,P068,2025-12-14,Defective
R00099,O07957,P040,2025-07-09,Defective
R00100,O09581,P032,2025-10-07,Damaged
R00101,O04699,P028,2025-07-15,Customer Changed Mind
R00102,O05680,P085,2026-02-17,Customer Changed Mind
R00103,O06746,P088,2026-01-18,Customer Changed Mind
R00104,O04074,P069,2025-12-01,Wrong Item
R00105,O06964,P045,2025-09-12,Damaged
R00106,O07731,P005,2025-11-07,Wrong Item
R00107,O01723,P059,2026-02-09,Damaged
R00108,O07525,P096,2026-03-04,Customer Changed Mind
R00109,O06446,P021,2025-11-03,Defective
R00110,O05051,P045,2026-01-10,Defective
R00111,O02977,P084,2026-01-14,Customer Changed Mind
R00112,O03074,P077,2026-03-09,Defective
R00113,O07993,P018,2025-07-27,Customer Changed Mind
R00114,O07654,P085,2026-02-17,Damaged
R00115,O09686,P095,2025-11-28,Wrong Item
R00116,O00970,P089,2026-01-03,Defective
R00117,O02077,P066,2025-12-04,Wrong Item
R00118,O09573,P035,2026-01-23,Customer Changed Mind
R00119,O00766,P045,2025-10-22,Damaged
R00120,O04838,P066,2026-03-08,Damaged
R00121,O01213,P096,2026-02-05,Defective
R00122,O09509,P099,2026-03-09,Customer Changed Mind
R00123,O00128,P015,2025-11-27,Customer Changed Mind
R00124,O05261,P082,2026-03-04,Defective
R00125,O08033,P048,2025-11-08,Defective
R00126,O02876,P092,2026-01-12,Damaged
R00127,O01845,P003,2025-10-18,Customer Changed Mind
R00128,O09443,P088,2026-02-22,Defective
R00129,O06097,P084,2026-02-20,Customer Changed Mind
R00130,O01608,P022,2026-02-09,Damaged
R00131,O09941,P028,2025-12-21,Customer Changed Mind
R00132,O05842,P029,2026-02-08,Wrong Item
R00133,O09517,P006,2026-03-04,Wrong Item
R00134,O08415,P044,2025-11-10,Wrong Item
R00135,O03951,P040,2026-01-15,Defective
R00136,O07296,P060,2026-03-09,Customer Changed Mind
R00137,O06629,P025,2025-11-13,Customer Changed Mind
R00138,O09941,P028,2026-02-19,Defective
R00139,O09169,P033,2026-01-04,Damaged
R00140,O03677,P069,2025-12-08,Damaged
R00141,O09772,P054,2026-01-27,Defective
R00142,O07372,P098,2026-01-05,Damaged
R00143,O02870,P073,2026-02-07,Wrong Item
R00144,O04814,P055,2025-06-01,Damaged
R00145,O09366,P073,2026-01-31,Damaged
R00146,O01506,P006,2025-08-18,Wrong Item
R00147,O06184,P007,2026-03-06,Damaged
R00148,O07383,P047,2026-01-26,Defective
R00149,O07494,P001,2025-12-28,Damaged
R00150,O00319,P001,2026-03-05,Damaged
R00151,O01681,P095,2025-12-09,Wrong Item
R00152,O03736,P054,2026-02-13,Defective
R00153,O09907,P025,2025-10-30,Damaged
R00154,O02614,P070,2026-02-27,Customer Changed Mind
R00155,O06236,P076,2025-09-28,Defective
R00156,O08613,P020,2025-09-05,Damaged
R00157,O01131,P048,2025-11-14,Customer Changed Mind
R00158,O00594,P082,2025-07-06,Customer Changed Mind
R00159,O09918,P006,2025-09-30,Defective
R00160,O09519,P057,2025-10-11,Wrong Item
R00161,O03542,P029,2025-07-31,Defective
R00162,O03720,P008,2025-10-13,Damaged
R00163,O03497,P023,2025-08-08,Defective
R00164,O00103,P077,2026-02-07,Wrong Item
R00165,O08266,P090,2025-10-26,Wrong Item
R00166,O01201,P075,2025-12-07,Wrong Item
R00167,O02398,P029,2025-11-26,Wrong Item
R00168,O05181,P047,2026-01-27,Customer Changed Mind
R00169,O02748,P014,2025-11-13,Customer Changed Mind
R00170,O04011,P038,2026-02-24,Damaged
R00171,O07148,P036,2026-03-07,Damaged
R00172,O01784,P069,2026-02-10,Defective
R00173,O09410,P077,2025-08-29,Wrong Item
R00174,O07159,P017,2025-12-28,Defective
R00175,O09486,P056,2026-01-15,Damaged
R00176,O04164,P065,2026-03-03,Damaged
R00177,O09625,P020,2026-03-09,Customer Changed Mind
R00178,O08998,P052,2025-08-06,Defective
R00179,O07002,P026,2025-07-29,Defective
R00180,O04226,P036,2025-12-19,Wrong Item
R00181,O04259,P012,2025-09-29,Customer Changed Mind
R00182,O07607,P011,2026-02-25,Wrong Item
R00183,O09670,P051,2026-01-24,Customer Changed Mind
R00184,O00561,P012,2025-12-30,Defective
R00185,O06596,P054,2025-12-17,Wrong Item
R00186,O07191,P081,2026-02-24,Defective
R00187,O03864,P099,2025-09-17,Defective
R00188,O04687,P046,2026-01-29,Customer Changed Mind
R00189,O06953,P037,2026-01-18,Wrong Item
R00190,O07712,P058,2026-02-22,Customer Changed Mind
R00191,O09797,P055,2026-02-25,Wrong Item
R00192,O02376,P026,2026-01-24,Customer Changed Mind
R00193,O06941,P048,2026-02-06,Defective
R00194,O04510,P071,2026-01-09,Wrong Item
R00195,O02144,P065,2026-01-18,Defective
R00196,O04967,P091,2026-01-27,Wrong Item
R00197,O05122,P052,2026-02-10,Damaged
R00198,O02203,P062,2026-01-22,Wrong Item
R00199,O06519,P056,2026-02-06,Damaged
R00200,O05163,P040,2026-03-09,Wrong Item
R00201,O09404,P098,2026-01-16,Damaged
R00202,O02431,P089,2025-09-19,Defective
R00203,O09495,P064,2026-01-27,Wrong Item
R00204,O02040,P040,2025-11-21,Defective
R00205,O09207,P063,2025-12-29,Defective
R00206,O06662,P072,2025-09-25,Customer Changed Mind
R00207,O08947,P006,2025-12-31,Wrong Item
R00208,O02996,P074,2026-02-05,Defective
R00209,O05534,P021,2025-07-28,Wrong Item
R00210,O08730,P069,2026-02-16,Damaged
R00211,O06999,P099,2025-07-06,Defective
R00212,O00047,P064,2025-03-27,Wrong Item
R00213,O05118,P095,2025-08-09,Customer Changed Mind
R00214,O05286,P064,2025-11-25,Wrong Item
R00215,O04343,P006,2025-10-17,Defective
R00216,O07307,P066,2026-02-23,Wrong Item
R00217,O02576,P016,2026-02-10,Wrong Item
R00218,O06464,P078,2025-12-27,Defective
R00219,O07608,P025,2026-02-10,Defective
R00220,O08716,P051,2026-03-04,Wrong Item
R00221,O09426,P011,2026-01-13,Damaged
R00222,O02008,P034,2026-01-08,Damaged
R00223,O05006,P100,2025-12-02,Customer Changed Mind
R00224,O05640,P064,2025-04-01,Damaged
R00225,O07364,P012,2026-02-21,Damaged
R00226,O02099,P020,2025-07-29,Wrong Item
R00227,O04480,P075,2025-04-23,Wrong Item
R00228,O00098,P018,2026-03-02,Damaged
R00229,O04692,P005,2025-08-06,Defective
R00230,O07472,P042,2026-02-14,Defective
R00231,O05072,P025,2025-09-04,Wrong Item
R00232,O03144,P052,2026-01-19,Wrong Item
R00233,O02070,P084,2026-03-09,Defective
R00234,O01935,P029,2026-03-05,Defective
R00235,O00677,P100,2026-03-04,Wrong Item
R00236,O05128,P014,2026-02-12,Wrong Item
R00237,O02286,P092,2025-08-26,Defective
R00238,O02661,P065,2025-12-08,Damaged
R00239,O09893,P038,2025-12-15,Defective
R00240,O01878,P066,2025-07-31,Wrong Item
R00241,O01257,P005,2025-11-17,Defective
R00242,O05158,P084,2025-07-03,Wrong Item
R00243,O04605,P082,2025-09-14,Defective
R00244,O08933,P093,2026-02-26,Damaged
R00245,O01603,P078,2025-08-15,Damaged
R00246,O06827,P071,2026-01-09,Damaged
R00247,O09619,P049,2025-10-25,Wrong Item
R00248,O00437,P086,2025-12-29,Customer Changed Mind
R00249,O00518,P044,2026-01-08,Wrong Item
R00250,O00237,P050,2025-07-11,Damaged
R00251,O01890,P077,2025-11-04,Damaged
R00252,O08975,P020,2025-07-14,Damaged
R00253,O01909,P027,2025-12-24,Damaged
R00254,O06436,P033,2026-02-19,Defective
R00255,O04731,P030,2025-04-23,Damaged
R00256,O03794,P095,2026-03-09,Damaged
R00257,O05072,P025,2025-10-18,Defective
R00258,O04819,P077,2025-12-10,Customer Changed Mind
R00259,O05063,P085,2025-11-07,Damaged
R00260,O01846,P026,2026-02-25,Defective
R00261,O01650,P034,2026-02-26,Damaged
R00262,O05068,P062,2026-02-25,Defective
R00263,O01810,P090,2026-01-14,Wrong Item
R00264,O03562,P057,2026-03-09,Damaged
R00265,O08895,P062,2026-02-11,Customer Changed Mind
R00266,O02756,P076,2026-01-14,Wrong Item
R00267,O04983,P085,2025-11-05,Defective
R00268,O04169,P031,2026-02-21,Damaged
R00269,O04715,P055,2026-02-05,Wrong Item
R00270,O06202,P056,2026-01-16,Damaged
R00271,O05547,P067,2025-12-29,Customer Changed Mind
R00272,O00735,P095,2025-12-09,Defective
R00273,O04482,P030,2025-07-26,Damaged
R00274,O07076,P053,2025-09-25,Damaged
R00275,O08197,P039,2026-02-27,Damaged
R00276,O05220,P056,2026-01-16,Wrong Item
R00277,O05795,P026,2026-02-12,Wrong Item
R00278,O09820,P023,2026-01-13,Customer Changed Mind
R00279,O03926,P056,2026-02-22,Wrong Item
R00280,O01349,P054,2025-11-22,Customer Changed Mind
R00281,O08846,P067,2025-12-15,Defective
R00282,O06034,P094,2026-01-08,Defective
R00283,O05184,P023,2026-03-01,Customer Changed Mind
R00284,O07411,P005,2026-03-01,Damaged
R00285,O06906,P035,2025-05-09,Defective
R00286,O06939,P014,2026-01-25,Customer Changed Mind
R00287,O04569,P029,2025-11-20,Defective
R00288,O07755,P099,2025-06-06,Defective
R00289,O00344,P098,2025-12-30,Customer Changed Mind
R00290,O02906,P076,2025-05-25,Damaged
R00291,O05978,P092,2026-01-04,Defective
R00292,O05387,P052,2025-06-16,Defective
R00293,O00171,P029,2026-01-04,Wrong Item
R00294,O02328,P091,2026-02-05,Customer Changed Mind
R00295,O06295,P075,2026-01-15,Customer Changed Mind
R00296,O07364,P012,2025-12-05,Customer Changed Mind
R00297,O00545,P020,2025-10-08,Damaged
R00298,O06071,P090,2025-12-09,Damaged
R00299,O07938,P040,2025-08-11,Customer Changed Mind
R00300,O04999,P002,2025-11-13,Customer Changed Mind
R00301,O02089,P074,2026-01-21,Defective
R00302,O03705,P036,2025-10-19,Wrong Item
R00303,O00637,P016,2026-03-04,Defective
R00304,O03964,P033,2026-02-01,Customer Changed Mind
R00305,O03871,P058,2026-02-06,Damaged
R00306,O04406,P032,2025-09-14,Customer Changed Mind
R00307,O08110,P004,2026-03-09,Defective
R00308,O03451,P070,2025-10-27,Wrong Item
R00309,O04249,P063,2025-10-23,Defective
R00310,O07173,P085,2026-02-16,Defective
R00311,O01544,P080,2025-12-18,Wrong Item
R00312,O01378,P052,2025-08-07,Customer Changed Mind
R00313,O04934,P063,2026-01-29,Customer Changed Mind
R00314,O04005,P042,2025-11-13,Customer Changed Mind
R00315,O07165,P033,2026-02-15,Customer Changed Mind
R00316,O06072,P007,2026-01-24,Customer Changed Mind
R00317,O02051,P002,2025-10-06,Defective
R00318,O07721,P100,2026-02-10,Wrong Item
R00319,O07072,P060,2026-02-11,Defective
R00320,O03745,P092,2025-10-09,Customer Changed Mind
R00321,O02579,P089,2025-06-01,Damaged
R00322,O07838,P026,2025-12-06,Defective
R00323,O08904,P021,2025-05-24,Defective
R00324,O07792,P092,2025-12-11,Damaged
R00325,O00163,P034,2026-02-04,Wrong Item
R00326,O07366,P005,2025-10-22,Wrong Item
R00327,O01508,P094,2025-08-11,Damaged
R00328,O06151,P067,2025-07-29,Defective
R00329,O02547,P055,2026-01-12,Damaged
R00330,O04613,P085,2026-03-08,Damaged
R00331,O09552,P050,2025-05-25,Wrong Item
R00332,O02086,P071,2026-02-27,Defective
R00333,O00537,P013,2025-11-19,Customer Changed Mind
R00334,O08798,P044,2025-10-15,Damaged
R00335,O09416,P081,2025-11-20,Customer Changed Mind
R00336,O05575,P096,2026-01-07,Wrong Item
R00337,O02824,P052,2025-09-22,Damaged
R00338,O08624,P090,2026-01-28,Wrong Item
R00339,O08723,P049,2025-12-10,Defective
R00340,O00775,P067,2025-10-21,Damaged
R00341,O01426,P030,2026-02-12,Damaged
R00342,O02950,P031,2025-09-05,Defective
R00343,O09743,P060,2026-02-28,Wrong Item
R00344,O05111,P034,2026-01-07,Damaged
R00345,O04651,P063,2025-12-03,Wrong Item
R00346,O04855,P093,2025-11-07,Defective
R00347,O00177,P077,2026-02-14,Wrong Item
R00348,O04982,P023,2025-12-22,Defective
R00349,O03040,P073,2025-11-16,Customer Changed Mind
R00350,O02382,P071,2026-02-03,Defective
R00351,O09991,P050,2025-12-01,Wrong Item
R00352,O08733,P067,2026-02-18,Defective
R00353,O07527,P042,2026-01-06,Defective
R00354,O03800,P090,2026-02-27,Wrong Item
R00355,O05837,P097,2026-01-24,Wrong Item
R00356,O03994,P041,2026-02-13,Damaged
R00357,O00772,P094,2026-01-11,Defective
R00358,O01967,P019,2026-02-08,Wrong Item
R00359,O04578,P044,2025-09-23,Damaged
R00360,O07527,P042,2026-02-17,Damaged
R00361,O07203,P021,2026-03-09,Defective
R00362,O02447,P017,2026-03-05,Damaged
R00363,O03266,P079,2026-02-18,Damaged
R00364,O01514,P071,2026-02-09,Wrong Item
R00365,O05659,P077,2026-02-21,Damaged
R00366,O07866,P011,2025-11-23,Wrong Item
R00367,O09656,P037,2025-09-17,Customer Changed Mind
R00368,O09794,P005,2025-11-16,Defective
R00369,O05175,P071,2026-02-27,Defective
R00370,O07072,P060,2026-01-30,Customer Changed Mind
R00371,O06001,P033,2026-02-11,Wrong Item
R00372,O03713,P073,2026-01-15,Defective
R00373,O08533,P045,2025-12-06,Wrong Item
R00374,O02384,P022,2026-03-09,Damaged
R00375,O05511,P042,2026-03-05,Wrong Item
R00376,O04011,P038,2026-02-07,Customer Changed Mind
R00377,O02319,P054,2026-01-25,Customer Changed Mind
R00378,O08497,P089,2026-01-29,Damaged
R00379,O07925,P034,2025-12-01,Defective
R00380,O06940,P076,2025-11-02,Wrong Item
R00381,O07104,P003,2026-03-08,Damaged
R00382,O08152,P005,2025-06-22,Defective
R00383,O03077,P039,2025-06-06,Defective
R00384,O06826,P003,2025-04-23,Defective
R00385,O08288,P053,2026-02-21,Damaged
R00386,O00474,P049,2026-03-02,Wrong Item
R00387,O01622,P009,2025-08-23,Customer Changed Mind
R00388,O04491,P099,2025-09-21,Damaged
R00389,O07315,P048,2026-01-14,Damaged
R00390,O04026,P005,2025-12-08,Customer Changed Mind
R00391,O08789,P031,2025-07-12,Customer Changed Mind
R00392,O04931,P010,2025-11-16,Damaged
R00393,O05682,P012,2025-07-05,Customer Changed Mind
R00394,O08972,P044,2025-07-26,Defective
R00395,O08023,P098,2026-02-12,Wrong Item
R00396,O07322,P027,2025-06-29,Wrong Item
R00397,O03641,P048,2025-10-09,Wrong Item
R00398,O07445,P005,2026-03-06,Damaged
R00399,O07485,P016,2025-12-08,Defective
R00400,O09653,P077,2026-03-01,Wrong Item
R00401,O00673,P025,2025-08-31,Customer Changed Mind
R00402,O06637,P058,2025-09-03,Customer Changed Mind
R00403,O09785,P007,2025-10-28,Defective
R00404,O04901,P048,2026-02-18,Customer Changed Mind
R00405,O06899,P068,2025-09-09,Damaged
R00406,O08733,P067,2026-01-19,Defective
R00407,O00679,P052,2025-12-16,Wrong Item
R00408,O09735,P003,2026-01-17,Damaged
R00409,O06222,P041,2025-09-21,Customer Changed Mind
R00410,O01564,P008,2026-01-06,Customer Changed Mind
R00411,O02139,P069,2026-03-02,Damaged
R00412,O01750,P061,2026-02-23,Damaged
R00413,O03954,P056,2026-02-10,Customer Changed Mind
R00414,O02343,P006,2025-05-17,Damaged
R00415,O07289,P066,2026-01-31,Defective
R00416,O08725,P049,2025-10-26,Wrong Item
R00417,O00894,P057,2026-02-15,Defective
R00418,O02401,P027,2026-01-14,Damaged
R00419,O08138,P064,2026-01-20,Damaged
R00420,O02551,P051,2025-11-28,Damaged
R00421,O07679,P008,2025-10-18,Customer Changed Mind
R00422,O08241,P028,2025-09-10,Defective
R00423,O08447,P017,2026-01-31,Wrong Item
R00424,O00040,P039,2026-02-03,Wrong Item
R00425,O04905,P044,2025-11-25,Wrong Item
R00426,O03919,P064,2025-12-29,Damaged
R00427,O08931,P098,2026-02-23,Wrong Item
R00428,O03183,P047,2025-10-01,Damaged
R00429,O00796,P093,2026-02-20,Damaged
R00430,O03221,P050,2025-10-31,Wrong Item
R00431,O03768,P050,2026-01-10,Customer Changed Mind
R00432,O05156,P037,2026-03-08,Customer Changed Mind
R00433,O09494,P080,2025-07-06,Wrong Item
R00434,O07839,P057,2026-01-11,Wrong Item
R00435,O05243,P076,2026-02-17,Customer Changed Mind
R00436,O01614,P058,2026-01-28,Customer Changed Mind
R00437,O08381,P100,2025-11-12,Wrong Item
R00438,O08548,P038,2026-02-05,Defective
R00439,O09393,P057,2025-11-09,Wrong Item
R00440,O07623,P095,2025-11-27,Damaged
R00441,O00373,P091,2026-02-05,Customer Changed Mind
R00442,O06401,P003,2026-02-08,Customer Changed Mind
R00443,O08872,P075,2026-01-16,Defective
R00444,O05349,P024,2025-11-19,Wrong Item
R00445,O04311,P032,2026-01-01,Damaged
R00446,O04702,P027,2025-12-21,Defective
R00447,O06379,P033,2026-03-09,Wrong Item
R00448,O06049,P071,2026-03-03,Damaged
R00449,O07126,P057,2026-02-15,Damaged
R00450,O05289,P082,2025-09-16,Damaged
R00451,O07682,P060,2025-12-15,Defective
R00452,O04811,P049,2026-02-21,Damaged
R00453,O03759,P020,2025-12-02,Damaged
R00454,O06806,P099,2025-08-25,Customer Changed Mind
R00455,O04513,P065,2026-03-01,Damaged
R00456,O00369,P036,2026-02-19,Defective
R00457,O06873,P001,2025-09-29,Customer Changed Mind
R00458,O01736,P089,2025-10-29,Damaged
R00459,O09786,P037,2025-10-20,Customer Changed Mind
R00460,O08372,P053,2026-03-01,Damaged
R00461,O02272,P098,2025-07-13,Customer Changed Mind
R00462,O03648,P044,2025-09-15,Defective
R00463,O02748,P014,2025-09-09,Defective
R00464,O08590,P025,2026-01-27,Customer Changed Mind
R00465,O07218,P008,2025-05-09,Defective
R00466,O06623,P029,2026-02-18,Defective
R00467,O05151,P091,2025-10-05,Wrong Item
R00468,O06672,P053,2025-11-17,Damaged
R00469,O03305,P055,2026-02-01,Defective
R00470,O05808,P099,2025-11-27,Defective
R00471,O08816,P002,2025-09-05,Defective
R00472,O04139,P043,2025-10-23,Defective
R00473,O02647,P032,2026-01-31,Wrong Item
R00474,O00385,P055,2025-10-31,Defective
R00475,O08818,P006,2025-08-10,Defective
R00476,O03319,P044,2025-06-07,Defective
R00477,O02406,P074,2026-02-26,Defective
R00478,O08117,P077,2025-11-22,Wrong Item
R00479,O02932,P079,2025-12-14,Defective
R00480,O04933,P055,2026-02-27,Damaged
R00481,O07271,P076,2026-02-27,Wrong Item
R00482,O01154,P082,2025-06-04,Defective
R00483,O00151,P063,2026-01-13,Damaged
R00484,O09689,P079,2025-08-17,Defective
R00485,O04159,P007,2026-01-11,Customer Changed Mind
R00486,O07904,P067,2025-10-30,Wrong Item
R00487,O07096,P014,2026-01-03,Defective
R00488,O01039,P074,2025-08-10,Defective
R00489,O08145,P035,2025-06-20,Defective
R00490,O07742,P048,2026-01-19,Damaged
R00491,O04238,P099,2025-11-22,Customer Changed Mind
R00492,O08191,P092,2026-03-03,Wrong Item
R00493,O04749,P063,2025-09-18,Wrong Item
R00494,O03471,P096,2025-12-07,Customer Changed Mind
R00495,O00026,P076,2025-12-29,Damaged
R00496,O04492,P092,2025-08-22,Customer Changed Mind
R00497,O06792,P023,2026-02-27,Wrong Item
R00498,O07112,P060,2025-07-17,Damaged
R00499,O03716,P076,2025-11-26,Defective
R00500,O04289,P071,2025-11-30,Wrong Item
R00501,O07979,P012,2026-02-21,Defective
R00502,O01123,P095,2025-09-28,Customer Changed Mind
R00503,O08446,P051,2025-12-11,Customer Changed Mind
R00504,O04686,P030,2025-12-23,Customer Changed Mind
R00505,O01101,P047,2026-03-04,Wrong Item
R00506,O03976,P079,2026-01-20,Wrong Item
R00507,O04750,P060,2026-01-04,Wrong Item
R00508,O06513,P009,2026-02-18,Defective
R00509,O09779,P022,2025-11-02,Customer Changed Mind
R00510,O03466,P047,2026-03-08,Damaged
R00511,O00553,P052,2025-07-19,Wrong Item
R00512,O02251,P030,2026-03-03,Wrong Item
R00513,O01642,P090,2026-02-20,Defective
R00514,O06778,P055,2025-08-19,Wrong Item
R00515,O06670,P076,2026-02-27,Defective
R00516,O06866,P025,2026-01-24,Customer Changed Mind
R00517,O09032,P050,2025-07-20,Defective
R00518,O04263,P098,2025-11-04,Defective
R00519,O07276,P043,2026-01-21,Defective
R00520,O03325,P062,2025-11-28,Defective
R00521,O09934,P026,2026-01-22,Defective
R00522,O03159,P078,2026-01-21,Defective
R00523,O00889,P046,2025-10-27,Wrong Item
R00524,O05220,P056,2026-02-26,Defective
R00525,O03454,P065,2025-05-14,Customer Changed Mind
R00526,O03867,P054,2025-11-15,Defective
R00527,O01964,P029,2025-11-21,Wrong Item
R00528,O06202,P056,2025-12-25,Wrong Item
R00529,O04026,P005,2026-02-12,Defective
R00530,O03574,P024,2026-02-26,Defective
R00531,O08449,P019,2025-08-03,Wrong Item
R00532,O08682,P058,2025-12-30,Damaged
R00533,O08465,P061,2025-10-17,Wrong Item
R00534,O06139,P089,2025-12-05,Defective
R00535,O08210,P081,2025-11-01,Defective
R00536,O00994,P016,2026-01-22,Defective
R00537,O00448,P066,2025-12-27,Defective
R00538,O01762,P001,2025-11-15,Customer Changed Mind
R00539,O07810,P020,2026-03-04,Wrong Item
R00540,O07327,P011,2025-12-28,Customer Changed Mind
R00541,O01507,P008,2026-02-23,Customer Changed Mind
R00542,O09139,P056,2025-05-16,Damaged
R00543,O09117,P099,2026-01-26,Wrong Item
R00544,O03887,P061,2025-06-23,Defective
R00545,O06595,P037,2025-05-26,Customer Changed Mind
R00546,O01565,P053,2025-09-26,Wrong Item
R00547,O04250,P094,2025-12-29,Defective
R00548,O00126,P044,2026-01-04,Damaged
R00549,O09425,P008,2026-02-19,Damaged
R00550,O02289,P050,2025-10-15,Wrong Item
R00551,O05610,P069,2026-02-15,Wrong Item
R00552,O03029,P011,2025-06-27,Customer Changed Mind
R00553,O04989,P067,2026-01-31,Damaged
R00554,O04105,P090,2025-10-27,Wrong Item
R00555,O05092,P077,2025-12-30,Wrong Item
R00556,O04064,P084,2025-12-04,Wrong Item
R00557,O02823,P019,2026-02-08,Defective
R00558,O06854,P070,2025-11-15,Defective
R00559,O07498,P025,2026-01-26,Customer Changed Mind
R00560,O00100,P072,2025-08-24,Damaged
R00561,O00952,P021,2025-09-13,Customer Changed Mind
R00562,O02567,P071,2025-12-22,Wrong Item
R00563,O09666,P007,2025-12-31,Customer Changed Mind
R00564,O02839,P033,2026-02-04,Damaged
R00565,O04613,P085,2026-03-07,Defective
R00566,O03394,P078,2025-08-24,Wrong Item
R00567,O09289,P005,2026-02-14,Defective
R00568,O00465,P099,2026-02-09,Defective
R00569,O00605,P027,2026-02-01,Customer Changed Mind
R00570,O08469,P035,2025-11-05,Wrong Item
R00571,O06997,P059,2026-02-03,Wrong Item
R00572,O01414,P018,2026-01-30,Customer Changed Mind
R00573,O07830,P073,2026-03-06,Defective
R00574,O02873,P058,2026-02-08,Wrong Item
